,vax_prod,mmwr_wk,age_grpF,doseInt3,n,week_date,denom,rate,doseInt3F
325,Pfizer,25,18-49,0,1,Jun 20-Jun 26,89500,1.117318436,<17 days
326,Pfizer,25,18-49,1,49,Jun 20-Jun 26,14677937,0.33383438,17-23 days
327,Pfizer,25,18-49,2,9,Jun 20-Jun 26,2218251,0.405725051,24-30 days
328,Pfizer,25,18-49,3,1,Jun 20-Jun 26,263540,0.37944904,31-37 days
329,Pfizer,25,18-49,4,1,Jun 20-Jun 26,138226,0.723452896,>37 days
330,Pfizer,25,50-64,0,2,Jun 20-Jun 26,68136,2.935305859,<17 days
331,Pfizer,25,50-64,1,43,Jun 20-Jun 26,8620309,0.498822026,17-23 days
332,Pfizer,25,50-64,2,5,Jun 20-Jun 26,1342767,0.372365422,24-30 days
333,Pfizer,25,50-64,3,4,Jun 20-Jun 26,167918,2.38211508,31-37 days
334,Pfizer,25,65+,0,1,Jun 20-Jun 26,99893,1.001071146,<17 days
335,Pfizer,25,65+,1,48,Jun 20-Jun 26,8593659,0.558551369,17-23 days
336,Pfizer,25,65+,2,16,Jun 20-Jun 26,1177585,1.358712959,24-30 days
337,Pfizer,25,65+,3,1,Jun 20-Jun 26,160170,0.624336642,31-37 days
338,Pfizer,25,65+,4,3,Jun 20-Jun 26,89829,3.339678723,>37 days
339,Pfizer,26,18-49,0,1,Jun 27-Jul 03,90663,1.102985783,<17 days
340,Pfizer,26,18-49,1,99,Jun 27-Jul 03,15166424,0.652757697,17-23 days
341,Pfizer,26,18-49,2,10,Jun 27-Jul 03,2279736,0.438647282,24-30 days
342,Pfizer,26,18-49,3,3,Jun 27-Jul 03,276730,1.084089184,31-37 days
343,Pfizer,26,18-49,4,1,Jun 27-Jul 03,153292,0.652349764,>37 days
344,Pfizer,26,50-64,0,3,Jun 27-Jul 03,68579,4.37451698,<17 days
345,Pfizer,26,50-64,1,48,Jun 27-Jul 03,8767598,0.547470356,17-23 days
346,Pfizer,26,50-64,2,16,Jun 27-Jul 03,1361032,1.175578532,24-30 days
347,Pfizer,26,50-64,3,1,Jun 27-Jul 03,172173,0.580811161,31-37 days
348,Pfizer,26,50-64,4,1,Jun 27-Jul 03,86074,1.161791017,>37 days
349,Pfizer,26,65+,1,59,Jun 27-Jul 03,8646976,0.682319461,17-23 days
350,Pfizer,26,65+,2,9,Jun 27-Jul 03,1183552,0.760422863,24-30 days
351,Pfizer,26,65+,4,1,Jun 27-Jul 03,92471,1.081420121,>37 days
352,Pfizer,27,18-49,1,137,Jul 04-Jul 10,15485486,0.884699389,17-23 days
353,Pfizer,27,18-49,2,14,Jul 04-Jul 10,2332059,0.600327865,24-30 days
354,Pfizer,27,18-49,3,5,Jul 04-Jul 10,291828,1.713337994,31-37 days
355,Pfizer,27,18-49,4,1,Jul 04-Jul 10,167804,0.595933351,>37 days
356,Pfizer,27,50-64,1,101,Jul 04-Jul 10,8864535,1.139371665,17-23 days
357,Pfizer,27,50-64,2,9,Jul 04-Jul 10,1376201,0.653974238,24-30 days
358,Pfizer,27,50-64,3,6,Jul 04-Jul 10,176777,3.394106699,31-37 days
359,Pfizer,27,50-64,4,1,Jul 04-Jul 10,91426,1.093780763,>37 days
360,Pfizer,27,65+,1,73,Jul 04-Jul 10,8681684,0.840850692,17-23 days
361,Pfizer,27,65+,2,29,Jul 04-Jul 10,1188468,2.440116183,24-30 days
362,Pfizer,27,65+,3,5,Jul 04-Jul 10,163149,3.064683204,31-37 days
363,Pfizer,27,65+,4,1,Jul 04-Jul 10,94943,1.053263537,>37 days
364,Pfizer,28,18-49,0,4,Jul 11-Jul 17,92783,4.311134583,<17 days
365,Pfizer,28,18-49,1,251,Jul 11-Jul 17,15764565,1.592178408,17-23 days
366,Pfizer,28,18-49,2,50,Jul 11-Jul 17,2368682,2.110878539,24-30 days
367,Pfizer,28,18-49,3,1,Jul 11-Jul 17,306470,0.326296212,31-37 days
368,Pfizer,28,18-49,4,6,Jul 11-Jul 17,183588,3.268187463,>37 days
369,Pfizer,28,50-64,0,2,Jul 11-Jul 17,69410,2.881429189,<17 days
370,Pfizer,28,50-64,1,147,Jul 11-Jul 17,8949865,1.642482875,17-23 days
371,Pfizer,28,50-64,2,16,Jul 11-Jul 17,1386556,1.153938247,24-30 days
372,Pfizer,28,50-64,3,2,Jul 11-Jul 17,180950,1.105277701,31-37 days
373,Pfizer,28,65+,0,1,Jul 11-Jul 17,100437,0.995649014,<17 days
374,Pfizer,28,65+,1,148,Jul 11-Jul 17,8713964,1.698423358,17-23 days
375,Pfizer,28,65+,2,34,Jul 11-Jul 17,1191747,2.852954528,24-30 days
376,Pfizer,28,65+,3,2,Jul 11-Jul 17,164561,1.215354792,31-37 days
377,Pfizer,29,18-49,0,3,Jul 18-Jul 24,93776,3.199112779,<17 days
378,Pfizer,29,18-49,1,436,Jul 18-Jul 24,15976394,2.729026337,17-23 days
379,Pfizer,29,18-49,2,87,Jul 18-Jul 24,2399499,3.625756877,24-30 days
380,Pfizer,29,18-49,3,10,Jul 18-Jul 24,315017,3.174431856,31-37 days
381,Pfizer,29,18-49,4,7,Jul 18-Jul 24,196731,3.558158094,>37 days
382,Pfizer,29,50-64,0,4,Jul 18-Jul 24,69770,5.733123119,<17 days
383,Pfizer,29,50-64,1,268,Jul 18-Jul 24,9016707,2.972260272,17-23 days
384,Pfizer,29,50-64,2,40,Jul 18-Jul 24,1395622,2.866105579,24-30 days
385,Pfizer,29,50-64,3,10,Jul 18-Jul 24,183320,5.454942178,31-37 days
386,Pfizer,29,50-64,4,2,Jul 18-Jul 24,101741,1.965775843,>37 days
387,Pfizer,29,65+,0,2,Jul 18-Jul 24,100629,1.987498634,<17 days
388,Pfizer,29,65+,1,239,Jul 18-Jul 24,8740844,2.734289732,17-23 days
389,Pfizer,29,65+,2,54,Jul 18-Jul 24,1194777,4.519671872,24-30 days
390,Pfizer,29,65+,3,10,Jul 18-Jul 24,165281,6.050302213,31-37 days
391,Pfizer,30,18-49,0,6,Jul 25-Jul 31,94619,6.341221108,<17 days
392,Pfizer,30,18-49,1,723,Jul 25-Jul 31,16196110,4.464034882,17-23 days
393,Pfizer,30,18-49,2,125,Jul 25-Jul 31,2437488,5.128230375,24-30 days
394,Pfizer,30,18-49,3,17,Jul 25-Jul 31,325049,5.229980711,31-37 days
395,Pfizer,30,18-49,4,6,Jul 25-Jul 31,211469,2.837295301,>37 days
396,Pfizer,30,50-64,0,1,Jul 25-Jul 31,70120,1.42612664,<17 days
397,Pfizer,30,50-64,1,419,Jul 25-Jul 31,9086377,4.611298871,17-23 days
398,Pfizer,30,50-64,2,72,Jul 25-Jul 31,1406738,5.118223863,24-30 days
399,Pfizer,30,50-64,3,14,Jul 25-Jul 31,186073,7.523928781,31-37 days
400,Pfizer,30,50-64,4,4,Jul 25-Jul 31,106725,3.74795034,>37 days
401,Pfizer,30,65+,0,2,Jul 25-Jul 31,100787,1.984382907,<17 days
402,Pfizer,30,65+,1,404,Jul 25-Jul 31,8768912,4.607185019,17-23 days
403,Pfizer,30,65+,2,72,Jul 25-Jul 31,1198634,6.006837784,24-30 days
404,Pfizer,30,65+,3,16,Jul 25-Jul 31,166174,9.628461733,31-37 days
405,Pfizer,30,65+,4,6,Jul 25-Jul 31,101089,5.935363887,>37 days
406,Pfizer,31,18-49,0,5,Aug 01-Aug 07,95354,5.243618516,<17 days
407,Pfizer,31,18-49,1,1075,Aug 01-Aug 07,16410978,6.550493213,17-23 days
408,Pfizer,31,18-49,2,189,Aug 01-Aug 07,2470394,7.650601483,24-30 days
409,Pfizer,31,18-49,3,30,Aug 01-Aug 07,334682,8.963732737,31-37 days
410,Pfizer,31,18-49,4,11,Aug 01-Aug 07,227183,4.841911587,>37 days
411,Pfizer,31,50-64,0,4,Aug 01-Aug 07,70467,5.676415911,<17 days
412,Pfizer,31,50-64,1,580,Aug 01-Aug 07,9154628,6.33559332,17-23 days
413,Pfizer,31,50-64,2,119,Aug 01-Aug 07,1416972,8.398189943,24-30 days
414,Pfizer,31,50-64,3,26,Aug 01-Aug 07,188799,13.77125938,31-37 days
415,Pfizer,31,50-64,4,4,Aug 01-Aug 07,112152,3.566588202,>37 days
416,Pfizer,31,65+,0,4,Aug 01-Aug 07,100941,3.962710891,<17 days
417,Pfizer,31,65+,1,644,Aug 01-Aug 07,8795468,7.321952624,17-23 days
418,Pfizer,31,65+,2,120,Aug 01-Aug 07,1202338,9.980554553,24-30 days
419,Pfizer,31,65+,3,23,Aug 01-Aug 07,167179,13.7577088,31-37 days
420,Pfizer,31,65+,4,6,Aug 01-Aug 07,103267,5.810181374,>37 days
421,Pfizer,32,18-49,0,2,Aug 08-Aug 14,96207,2.078850811,<17 days
422,Pfizer,32,18-49,1,1349,Aug 08-Aug 14,16591671,8.130585521,17-23 days
423,Pfizer,32,18-49,2,229,Aug 08-Aug 14,2504096,9.145016804,24-30 days
424,Pfizer,32,18-49,3,30,Aug 08-Aug 14,344610,8.705493166,31-37 days
425,Pfizer,32,18-49,4,13,Aug 08-Aug 14,246126,5.281847509,>37 days
426,Pfizer,32,50-64,0,3,Aug 08-Aug 14,70840,4.234895539,<17 days
427,Pfizer,32,50-64,1,799,Aug 08-Aug 14,9212460,8.673036301,17-23 days
428,Pfizer,32,50-64,2,140,Aug 08-Aug 14,1426970,9.810998129,24-30 days
429,Pfizer,32,50-64,3,36,Aug 08-Aug 14,191668,18.78247803,31-37 days
430,Pfizer,32,50-64,4,9,Aug 08-Aug 14,118505,7.594616261,>37 days
431,Pfizer,32,65+,0,9,Aug 08-Aug 14,101090,8.90295776,<17 days
432,Pfizer,32,65+,1,825,Aug 08-Aug 14,8818945,9.354860474,17-23 days
433,Pfizer,32,65+,2,129,Aug 08-Aug 14,1205717,10.69902805,24-30 days
434,Pfizer,32,65+,3,31,Aug 08-Aug 14,168098,18.44162334,31-37 days
435,Pfizer,32,65+,4,10,Aug 08-Aug 14,105842,9.448045199,>37 days
436,Pfizer,33,18-49,0,8,Aug 15-Aug 21,97402,8.213383709,<17 days
437,Pfizer,33,18-49,1,1753,Aug 15-Aug 21,16786345,10.44301186,17-23 days
438,Pfizer,33,18-49,2,309,Aug 15-Aug 21,2532481,12.20147357,24-30 days
439,Pfizer,33,18-49,3,47,Aug 15-Aug 21,354192,13.26963907,31-37 days
440,Pfizer,33,18-49,4,18,Aug 15-Aug 21,267864,6.719827972,>37 days
441,Pfizer,33,50-64,0,5,Aug 15-Aug 21,71344,7.008297825,<17 days
442,Pfizer,33,50-64,1,1028,Aug 15-Aug 21,9274753,11.08385312,17-23 days
443,Pfizer,33,50-64,2,175,Aug 15-Aug 21,1435307,12.19251352,24-30 days
444,Pfizer,33,50-64,3,33,Aug 15-Aug 21,194402,16.975134,31-37 days
445,Pfizer,33,50-64,4,11,Aug 15-Aug 21,125223,8.784328757,>37 days
446,Pfizer,33,65+,0,7,Aug 15-Aug 21,101351,6.90669061,<17 days
447,Pfizer,33,65+,1,1095,Aug 15-Aug 21,8844493,12.3805853,17-23 days
448,Pfizer,33,65+,2,202,Aug 15-Aug 21,1208718,16.71192123,24-30 days
449,Pfizer,33,65+,3,61,Aug 15-Aug 21,169070,36.07973029,31-37 days
450,Pfizer,33,65+,4,12,Aug 15-Aug 21,108624,11.04728237,>37 days
451,Pfizer,34,18-49,0,8,Aug 22-Aug 28,98675,8.10742336,<17 days
452,Pfizer,34,18-49,1,1972,Aug 22-Aug 28,17016915,11.58846947,17-23 days
453,Pfizer,34,18-49,2,311,Aug 22-Aug 28,2564411,12.12754118,24-30 days
454,Pfizer,34,18-49,3,57,Aug 22-Aug 28,362115,15.74085581,31-37 days
455,Pfizer,34,18-49,4,37,Aug 22-Aug 28,289232,12.79249876,>37 days
456,Pfizer,34,50-64,0,3,Aug 22-Aug 28,71865,4.174493843,<17 days
457,Pfizer,34,50-64,1,1155,Aug 22-Aug 28,9352477,12.3496695,17-23 days
458,Pfizer,34,50-64,2,197,Aug 22-Aug 28,1444834,13.63478434,24-30 days
459,Pfizer,34,50-64,3,65,Aug 22-Aug 28,196579,33.06558686,31-37 days
460,Pfizer,34,50-64,4,18,Aug 22-Aug 28,131621,13.67562927,>37 days
461,Pfizer,34,65+,0,10,Aug 22-Aug 28,101602,9.842325938,<17 days
462,Pfizer,34,65+,1,1231,Aug 22-Aug 28,8875828,13.8691286,17-23 days
463,Pfizer,34,65+,2,223,Aug 22-Aug 28,1211990,18.39949174,24-30 days
464,Pfizer,34,65+,3,45,Aug 22-Aug 28,169804,26.50114249,31-37 days
465,Pfizer,34,65+,4,18,Aug 22-Aug 28,111140,16.19578909,>37 days
466,Pfizer,35,18-49,0,10,Aug 29-Sep 04,99948,10.00520271,<17 days
467,Pfizer,35,18-49,1,2155,Aug 29-Sep 04,17337867,12.42944129,17-23 days
468,Pfizer,35,18-49,2,357,Aug 29-Sep 04,2605732,13.70056475,24-30 days
469,Pfizer,35,18-49,3,67,Aug 29-Sep 04,371260,18.04665194,31-37 days
470,Pfizer,35,18-49,4,32,Aug 29-Sep 04,310468,10.30702037,>37 days
471,Pfizer,35,50-64,0,14,Aug 29-Sep 04,72389,19.33995497,<17 days
472,Pfizer,35,50-64,1,1234,Aug 29-Sep 04,9463297,13.03985281,17-23 days
473,Pfizer,35,50-64,2,229,Aug 29-Sep 04,1458282,15.7034099,24-30 days
474,Pfizer,35,50-64,3,56,Aug 29-Sep 04,199275,28.10186928,31-37 days
475,Pfizer,35,50-64,4,20,Aug 29-Sep 04,138801,14.40911809,>37 days
476,Pfizer,35,65+,0,7,Aug 29-Sep 04,101877,6.871030753,<17 days
477,Pfizer,35,65+,1,1380,Aug 29-Sep 04,8918950,15.47267335,17-23 days
478,Pfizer,35,65+,2,276,Aug 29-Sep 04,1216684,22.68460833,24-30 days
479,Pfizer,35,65+,3,69,Aug 29-Sep 04,170796,40.39907258,31-37 days
480,Pfizer,35,65+,4,16,Aug 29-Sep 04,116622,13.71953834,>37 days
481,Moderna,15,18-49,0,0,Apr 11-Apr 17,28024,0,<17 days
482,Moderna,15,50-64,0,0,Apr 11-Apr 17,35531,0,<17 days
483,Moderna,15,50-64,4,0,Apr 11-Apr 17,43972,0,>37 days
484,Moderna,15,65+,0,0,Apr 11-Apr 17,234847,0,<17 days
485,Moderna,15,65+,1,0,Apr 11-Apr 17,41411,0,17-23 days
486,Pfizer,15,18-49,0,0,Apr 11-Apr 17,44709,0,<17 days
487,Pfizer,15,18-49,3,0,Apr 11-Apr 17,46144,0,31-37 days
488,Pfizer,15,18-49,4,0,Apr 11-Apr 17,31043,0,>37 days
489,Pfizer,15,50-64,3,0,Apr 11-Apr 17,26421,0,31-37 days
490,Pfizer,15,50-64,4,0,Apr 11-Apr 17,18069,0,>37 days
491,Pfizer,15,65+,0,0,Apr 11-Apr 17,91075,0,<17 days
492,Pfizer,15,65+,2,0,Apr 11-Apr 17,833204,0,24-30 days
493,Pfizer,15,65+,4,0,Apr 11-Apr 17,42389,0,>37 days
494,Moderna,16,18-49,0,0,Apr 18-Apr 24,31550,0,<17 days
495,Moderna,16,18-49,1,0,Apr 18-Apr 24,19922,0,17-23 days
496,Moderna,16,18-49,4,0,Apr 18-Apr 24,82863,0,>37 days
497,Moderna,16,50-64,0,0,Apr 18-Apr 24,39300,0,<17 days
498,Moderna,16,50-64,1,0,Apr 18-Apr 24,19709,0,17-23 days
499,Moderna,16,65+,0,0,Apr 18-Apr 24,236714,0,<17 days
500,Moderna,16,65+,1,0,Apr 18-Apr 24,43801,0,17-23 days
501,Moderna,16,65+,4,0,Apr 18-Apr 24,143463,0,>37 days
502,Pfizer,16,18-49,0,0,Apr 18-Apr 24,53473,0,<17 days
503,Pfizer,16,50-64,3,0,Apr 18-Apr 24,35586,0,31-37 days
504,Pfizer,16,50-64,4,0,Apr 18-Apr 24,20310,0,>37 days
505,Pfizer,16,65+,0,0,Apr 18-Apr 24,93527,0,<17 days
506,Pfizer,16,65+,3,0,Apr 18-Apr 24,109973,0,31-37 days
507,Moderna,17,18-49,1,0,Apr 25-May 01,22366,0,17-23 days
508,Moderna,17,50-64,0,0,Apr 25-May 01,42053,0,<17 days
509,Moderna,17,50-64,1,0,Apr 25-May 01,22597,0,17-23 days
510,Moderna,17,65+,1,0,Apr 25-May 01,45252,0,17-23 days
511,Pfizer,17,18-49,4,0,Apr 25-May 01,39927,0,>37 days
512,Pfizer,17,50-64,3,0,Apr 25-May 01,50606,0,31-37 days
513,Pfizer,17,65+,0,0,Apr 25-May 01,95253,0,<17 days
514,Pfizer,17,65+,4,0,Apr 25-May 01,54533,0,>37 days
515,Moderna,18,50-64,1,0,May 02-May 08,25669,0,17-23 days
516,Moderna,18,50-64,4,0,May 02-May 08,70750,0,>37 days
517,Moderna,18,65+,0,0,May 02-May 08,239347,0,<17 days
518,Moderna,18,65+,1,0,May 02-May 08,46542,0,17-23 days
519,Pfizer,18,18-49,0,0,May 02-May 08,67715,0,<17 days
520,Pfizer,18,18-49,4,0,May 02-May 08,46306,0,>37 days
521,Pfizer,18,50-64,4,0,May 02-May 08,28510,0,>37 days
522,Pfizer,18,65+,0,0,May 02-May 08,96542,0,<17 days
523,Moderna,19,18-49,1,0,May 09-May 15,29232,0,17-23 days
524,Moderna,19,50-64,1,0,May 09-May 15,27795,0,17-23 days
525,Moderna,19,50-64,4,0,May 09-May 15,85395,0,>37 days
526,Moderna,19,65+,0,0,May 09-May 15,240073,0,<17 days
527,Moderna,19,65+,1,0,May 09-May 15,47358,0,17-23 days
528,Pfizer,19,18-49,4,0,May 09-May 15,53984,0,>37 days
529,Pfizer,19,50-64,0,0,May 09-May 15,61928,0,<17 days
530,Pfizer,19,50-64,3,0,May 09-May 15,96102,0,31-37 days
531,Pfizer,19,65+,0,0,May 09-May 15,97358,0,<17 days
532,Moderna,20,18-49,1,0,May 16-May 22,32626,0,17-23 days
533,Moderna,20,50-64,0,0,May 16-May 22,47217,0,<17 days
534,Moderna,20,65+,0,0,May 16-May 22,240757,0,<17 days
535,Moderna,20,65+,1,0,May 16-May 22,48174,0,17-23 days
536,Moderna,20,65+,4,0,May 16-May 22,197785,0,>37 days
537,Pfizer,20,18-49,3,0,May 16-May 22,142351,0,31-37 days
538,Pfizer,20,18-49,4,0,May 16-May 22,63878,0,>37 days
539,Pfizer,20,50-64,4,0,May 16-May 22,44074,0,>37 days
540,Pfizer,20,65+,0,0,May 16-May 22,98113,0,<17 days
541,Moderna,21,18-49,0,0,May 23-May 29,46232,0,<17 days
542,Moderna,21,18-49,1,0,May 23-May 29,36664,0,17-23 days
543,Moderna,21,18-49,4,0,May 23-May 29,164315,0,>37 days
544,Moderna,21,50-64,0,0,May 23-May 29,48142,0,<17 days
545,Moderna,21,50-64,1,0,May 23-May 29,31652,0,17-23 days
546,Moderna,21,65+,0,0,May 23-May 29,241222,0,<17 days
547,Pfizer,21,18-49,0,0,May 23-May 29,81878,0,<17 days
548,Pfizer,21,18-49,4,0,May 23-May 29,75140,0,>37 days
549,Pfizer,21,50-64,0,0,May 23-May 29,65185,0,<17 days
550,Pfizer,21,65+,0,0,May 23-May 29,98665,0,<17 days
551,Pfizer,21,65+,4,0,May 23-May 29,76550,0,>37 days
552,Moderna,22,18-49,0,0,May 30-Jun 05,47825,0,<17 days
553,Moderna,22,18-49,1,0,May 30-Jun 05,39571,0,17-23 days
554,Moderna,22,50-64,0,0,May 30-Jun 05,48889,0,<17 days
555,Moderna,22,50-64,1,0,May 30-Jun 05,32913,0,17-23 days
556,Moderna,22,50-64,4,0,May 30-Jun 05,130729,0,>37 days
557,Moderna,22,65+,0,0,May 30-Jun 05,241629,0,<17 days
558,Moderna,22,65+,1,0,May 30-Jun 05,49548,0,17-23 days
559,Moderna,22,65+,4,0,May 30-Jun 05,212991,0,>37 days
560,Pfizer,22,50-64,0,0,May 30-Jun 05,66196,0,<17 days
561,Pfizer,22,50-64,4,0,May 30-Jun 05,61714,0,>37 days
562,Pfizer,22,65+,0,0,May 30-Jun 05,99087,0,<17 days
563,Pfizer,22,65+,4,0,May 30-Jun 05,80934,0,>37 days
564,Moderna,23,18-49,0,0,Jun 06-Jun 12,48815,0,<17 days
565,Moderna,23,18-49,1,0,Jun 06-Jun 12,41850,0,17-23 days
566,Moderna,23,50-64,0,0,Jun 06-Jun 12,49433,0,<17 days
567,Moderna,23,50-64,1,0,Jun 06-Jun 12,34093,0,17-23 days
568,Moderna,23,50-64,4,0,Jun 06-Jun 12,143640,0,>37 days
569,Moderna,23,65+,0,0,Jun 06-Jun 12,241957,0,<17 days
570,Moderna,23,65+,1,0,Jun 06-Jun 12,50131,0,17-23 days
571,Pfizer,23,18-49,4,0,Jun 06-Jun 12,109291,0,>37 days
572,Pfizer,23,50-64,0,0,Jun 06-Jun 12,66981,0,<17 days
573,Pfizer,23,50-64,4,0,Jun 06-Jun 12,69294,0,>37 days
574,Pfizer,23,65+,0,0,Jun 06-Jun 12,99398,0,<17 days
575,Moderna,24,18-49,0,0,Jun 13-Jun 19,49504,0,<17 days
576,Moderna,24,18-49,1,0,Jun 13-Jun 19,43439,0,17-23 days
577,Moderna,24,18-49,4,0,Jun 13-Jun 19,236405,0,>37 days
578,Moderna,24,50-64,0,0,Jun 13-Jun 19,49836,0,<17 days
579,Moderna,24,50-64,1,0,Jun 13-Jun 19,34874,0,17-23 days
580,Moderna,24,50-64,4,0,Jun 13-Jun 19,153385,0,>37 days
581,Moderna,24,65+,1,0,Jun 13-Jun 19,50511,0,17-23 days
582,Pfizer,24,18-49,4,0,Jun 13-Jun 19,123173,0,>37 days
583,Pfizer,24,50-64,4,0,Jun 13-Jun 19,74839,0,>37 days
584,Pfizer,24,65+,0,0,Jun 13-Jun 19,99664,0,<17 days
585,Moderna,25,18-49,0,0,Jun 20-Jun 26,50043,0,<17 days
586,Moderna,25,18-49,1,0,Jun 20-Jun 26,45234,0,17-23 days
587,Moderna,25,18-49,4,0,Jun 20-Jun 26,261171,0,>37 days
588,Moderna,25,50-64,0,0,Jun 20-Jun 26,50158,0,<17 days
589,Moderna,25,50-64,1,0,Jun 20-Jun 26,35705,0,17-23 days
590,Moderna,25,50-64,4,0,Jun 20-Jun 26,164099,0,>37 days
591,Moderna,25,65+,0,0,Jun 20-Jun 26,242385,0,<17 days
592,Moderna,25,65+,1,0,Jun 20-Jun 26,50922,0,17-23 days
593,Moderna,25,65+,4,0,Jun 20-Jun 26,228569,0,>37 days
594,Pfizer,25,50-64,4,0,Jun 20-Jun 26,80515,0,>37 days
595,Moderna,26,18-49,0,0,Jun 27-Jul 03,50470,0,<17 days
596,Moderna,26,18-49,1,0,Jun 27-Jul 03,46483,0,17-23 days
597,Moderna,26,50-64,0,0,Jun 27-Jul 03,50419,0,<17 days
598,Moderna,26,50-64,1,0,Jun 27-Jul 03,36301,0,17-23 days
599,Moderna,26,65+,0,0,Jun 27-Jul 03,242509,0,<17 days
600,Pfizer,26,65+,0,0,Jun 27-Jul 03,100084,0,<17 days
601,Pfizer,26,65+,3,0,Jun 27-Jul 03,161605,0,31-37 days
602,Moderna,27,18-49,0,0,Jul 04-Jul 10,50830,0,<17 days
603,Moderna,27,18-49,1,0,Jul 04-Jul 10,47419,0,17-23 days
604,Moderna,27,50-64,0,0,Jul 04-Jul 10,50579,0,<17 days
605,Moderna,27,50-64,1,0,Jul 04-Jul 10,36743,0,17-23 days
606,Pfizer,27,18-49,0,0,Jul 04-Jul 10,91742,0,<17 days
607,Pfizer,27,50-64,0,0,Jul 04-Jul 10,69018,0,<17 days
608,Pfizer,27,65+,0,0,Jul 04-Jul 10,100254,0,<17 days
609,Moderna,28,18-49,1,0,Jul 11-Jul 17,48245,0,17-23 days
610,Moderna,28,50-64,1,0,Jul 11-Jul 17,37056,0,17-23 days
611,Moderna,28,50-64,4,0,Jul 11-Jul 17,191791,0,>37 days
612,Moderna,28,65+,0,0,Jul 11-Jul 17,242713,0,<17 days
613,Moderna,28,65+,1,0,Jul 11-Jul 17,51645,0,17-23 days
614,Moderna,28,65+,4,0,Jul 11-Jul 17,241349,0,>37 days
615,Pfizer,28,50-64,4,0,Jul 11-Jul 17,97146,0,>37 days
616,Pfizer,28,65+,4,0,Jul 11-Jul 17,97321,0,>37 days
617,Moderna,29,18-49,1,0,Jul 18-Jul 24,49010,0,17-23 days
618,Moderna,29,50-64,0,0,Jul 18-Jul 24,50880,0,<17 days
619,Moderna,29,50-64,1,0,Jul 18-Jul 24,37364,0,17-23 days
620,Moderna,29,65+,0,0,Jul 18-Jul 24,242822,0,<17 days
621,Moderna,29,65+,1,0,Jul 18-Jul 24,51810,0,17-23 days
622,Pfizer,29,65+,4,0,Jul 18-Jul 24,99126,0,>37 days
623,Moderna,30,18-49,1,0,Jul 25-Jul 31,49733,0,17-23 days
624,Moderna,30,50-64,0,0,Jul 25-Jul 31,51022,0,<17 days
625,Moderna,30,50-64,1,0,Jul 25-Jul 31,37683,0,17-23 days
626,Moderna,31,18-49,1,0,Aug 01-Aug 07,50413,0,17-23 days
627,Moderna,31,50-64,0,0,Aug 01-Aug 07,51198,0,<17 days
628,Moderna,31,50-64,1,0,Aug 01-Aug 07,37959,0,17-23 days
629,Moderna,32,18-49,1,0,Aug 08-Aug 14,50888,0,17-23 days
630,Moderna,33,18-49,0,0,Aug 15-Aug 21,52676,0,<17 days
